thread_id,customer_text,agent_text
1386710,I️ don’t pay each month for this iPhone to have a bug. Fix this pleaseeeee ahhh @115858,@442671 What issue are you having? We'd love to help out.
2279826,"@AppleSupport I tap the link to an MP3 on my iPhone in Safari. It opens a player in the window. How can I save that to Files? If I hit “share” when force touching the original link, and tapping Files, it just saves a text file.",@662794 Hey there. We'd like to look further into this with you. Let us know in DM if you use iCloud Drive to continue. https://t.co/GDrqU22YpT
1999449,@AppleSupport why are my I’s turning into exclamation marks and boxed question marks in my text messages?,@267294 Let's look into this together. Send us a DM and let us know whether you've noticed the behavior in any other apps. https://t.co/GDrqU22YpT
686574,"@AppleSupport You are not showing any VPP issues, but https://t.co/J5BwSLzptj is also acting up",@283925 We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L
2544020,"49 agonising minutes on the phone to @AppleSupport for a replacement for a dud in-warranty charger. Guys, you need to locate your HQ in the middle of a paddy field because it is KNACKERED. #PutItInRice","@723195 We appreciate your patience on the phone. Were you able to get things resolved? If not, let us know in a DM how we can help, as well as what was happening with your charger. We'll continue there. https://t.co/GDrqU22YpT"
208242,@AppleSupport When i open my WhatsApp directly then my phone 📞 show a black screen,"@605755 Thanks for reaching out. Let's start by trying these steps: https://t.co/3WF5Z1DBGa If the issue persists, let us know by DM. https://t.co/nYknMGviju"
1291164,"11 mins later, on 31%
@AppleSupport wtf bruh.",@421939 Let's look into this together. Are you using the USB cable and adapter that came with your iPhone or a different one?
2468124,@AppleSupport I was able to turn off the phone by holding the side button. But my iPhone 7 doesn’t restart by holding the side and home button,"@568492 When you use the side button, are you holding it long enough to see the ""Slide to Power off"" screen?"
810817,Ayoooo I lost all my messages 😭@AppleSupport,@313194 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
1302833,@AppleSupport Why I can't see my already placed order?,"@393551 Thank you for reaching out to us. We'd like to get you in touch with our Sales Support, see this link:  https://t.co/8yjRd1Xo0i"
483198,Someone help pls lmao I changed my Apple ID weeks ago and it won't let me sign out w/o entering the password which doesn't work bc different email 🙃 @AppleSupport https://t.co/HsLIUskQEa,@229928 Thanks for reaching out. We can definitely look into this further with you. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1332735,@AppleSupport iOS 11 keeps freezing my phone and makes apps unresponsive... fix the bug soon,@430902 We want to help. Reach out via DM using the link below. https://t.co/GDrqU22YpT
857948,Please @AppleSupport I really need to stop saying the celebrity borefests and casual sexism of The Sun in my top or trending stories.,@323734 Let's help. Check out: https://t.co/oTuaMqVI3r for ways to control the content from your sources.
1053695,#iOS11 'Reduce Motion' doesn't really reduce the animation. It just make them go slower huh? @AppleSupport,@368974 Excellent question. You can get a rundown of what that feature does and changes from this link here: https://t.co/P2Obw7hkfD
1122193,@AppleSupport Plz the clear  this solution or if not possible  then change my iphone its up to yu,"@384682 We'd be glad to look into this with you further. Meet us in DM with your iPhone model and iOS version, and we'll get started. https://t.co/GDrqU22YpT"
596847,@115858 @AppleSupport @115948 I updated my phone and now Apple Music doesn’t work 😡,@261482 Let's get that music back so you can continue to enjoy it. What happens when you go to your Music app? Do you see any songs? Is iCloud Music Library enabled: https://t.co/9VQ9VywZJ2?
2041356,Yep gotta go to @AppleSupport because my phone won't update😡🙄😒,@603581 Let’s team up on this situation. Could you let us know more details via a DM? We’ll keep moving forward from there. https://t.co/GDrqU22YpT
2282267,Dear @AppleSupport. “Texians” is a real word. Thank you. https://t.co/AiLKELYZJ7,"@663358 We thank you for connecting with us here. For this concern, you can update us via our feedback site here: https://t.co/oWzjJxkvlC"
2277609,@451763 @115858 @YahooCare I had the same problem. I deleted the Mail app altogether then reinstalled. Back to normal.,@662964 We'd like to look into this with you. Send us some details about what you're seeing and we'll go from there.
1659262,@AppleSupport Correct. I’ve restarted my phone when I had that issue prior and it worked. Any other ideas?,@506241 What version of iOS are you running currently?
2205905,@115858 can u hurry up and fix the I️ problem pls thanks,"@644969 This issue was fixed in iOS 11.1.1. To update to the latest version of iOS, go to Settings &gt; General &gt; Software Update and tap Download and Install. Make sure to back up your iPhone first: https://t.co/4f8hwT5to6"
1718435,"@AppleSupport I can’t log onto my mac, every time I enter my password it goes to log in but takes me back to the log in page. Please help:)","@520312 We'd love to help. Have you tried restarting your Mac? Also, do you have other user account you can sign in with?"
2350808,"@AppleSupport Yes, I took a special trip to the Apple store to buy 2. chargers the extension one and the regular.. I have used both.. but my phone will not hold that charge","@679455 Thank you for letting us know. To be clear, is your iPhone charging and draining quickly, or is your iPhone not charging at all?"
2429370,@AppleSupport I’ve restarted about 40000000 times 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ iPhone 7+ and latest iOS,@561618 Thanks for confirming. Please DM us details on how long you've been experiencing this issue and we'll work with you towards a resolution there. https://t.co/GDrqU22YpT
812219,"@AppleSupport 11.0.2 is killing my battery. I’m limiting use as much as possible, but the battery just doesn’t last. Please advise.",@313542 We’ve got just what you need. Let’s start by following these steps: https://t.co/bivpdfBNJ6
1014407,@AppleSupport when I walk into the house it turns it on after I have turned it off https://t.co/8vuYuB1nPL,"@360032 We’ll be happy to help further. To start, send us a DM. https://t.co/GDrqU22YpT"
1743625,"@AppleSupport WHAT IS THIS  
I️ I️ I️ I️ I️ I️",@525913 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
2500862,@118845 hey my headphones are really quiet. I turn it all the way up and they still are quiet. Please help me!!!!!,"@713422 Let's figure that out so you can get back to enjoying those beats. Do you know which model Beats you are using? Once we identify the model, we can provide you the best assistance."
1458979,Help- “No Caller ID” on my #iPhone call after call. Is there a way to block them? @AppleSupport,@458638 We're happy to help. DM us at the link below for further assistance. https://t.co/GDrqU22YpT
665799,@AppleSupport Apple'ının şanlı yöneticileri  bizim telefon 5aydır onarım merkezinde halen gelmedi her aradığımda stok sıkıntısı yaşıyoruz doğrumu,@656929 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
2872572,can i know @AppleSupport why this thing come out when im try to Update my Application?? https://t.co/KoCk0GAW6d,"@797556 Thanks for reaching out. Are you signed in with an already existing account, or trying to create a new iCloud account?"
1632122,Why is my brand new iPhone 8 crackling when I play music @115858 🙃🙃🙃🙃,@499447 We want your iPhone working great and we're happy to help. DM us if this happens with all songs or only certain ones. https://t.co/GDrqU22YpT
359849,@AppleSupport if I manually adjust the screen brightness for a little will it go back to auto brightness on its own?,"@201233 Let's figure this out. Just to be clear, you've turned off auto-brightness in Settings, then it shows on when you go back?"
307957,@115858 can y’all please make an update that WORKS my maps keep crashing i’m trying to find the most efficient way to get to a d*ck APPT!!!!!,@155815 Hi there. We'd like to help. What version of iOS are you running under Settings &gt; General &gt; About?
2311867,"#ios11 has completely ruined the iphone experience we got, always. Phone’s lagging more with utterly horrendous battery time. I feel bad being an iphone user feeling it better to use a Samsung S8
@AppleSupport @90501",@670457 We received your DM and we'll continue with you there shortly.
1773388,@115858  @AppleSupport you need to get this “i” situation handled because even creating a shortcut isn’t helping 🤦🏻‍♂️,@532987 We'd love to help. Reach us via DM to continue. https://t.co/GDrqU22YpT
2372260,@AppleSupport   My iMac computer screen showed an update for Mac Sierra something.  I️ was updating it and now computer don’t work what’s going on,@253198 Let's figure this out. Are you seeing anything on your screen now? Tell us more about what happened during the process.
1646143,@115858 every time i️ type i️ it does some stupid shit with a question mark &amp; an A. get your shit together &amp; fix it before i️ get an android,@502983 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1354520,@AppleSupport iPhone 6+ both connection modes...,@435872 We’d to learn more. Please meet us in DM to continue. https://t.co/GDrqU22YpT
2360405,"@AppleSupport Sure. So when I type or click on something (like the keyboard, emoji keyboard, text box, etc) the response time is much slower. It stops for a bit then responds. It was not like this before iOS 11.1.1. I’ve not done anything to try to fix it.",@678365 Let's take a closer look. Here's a link to DM us. https://t.co/GDrqU22YpT
1091348,@AppleSupport a few days ago,@377495 We'd like to dig further into this with you. DM us and we'll continue from there. https://t.co/GDrqU2kzhr
2750501,@AppleSupport I tried the classic turn it off and turn it back on. The dock has returned. But it never should have left!,"@770052 That is completely understandable. We are just glad the issue is resolved. If it does happen again, please send us a DM. https://t.co/GDrqU22YpT"
939555,@AppleSupport A 30 min call and my battery went from 100% to 65%. Please acknowledge this issue. This is a throwback to 1989 car phones.,@342718 We'd like to look into this with you. What is your current iOS version? What kind of iPhone are you using?
375567,"Hmm, @AppleSupport, might want to check on Siri. She reads this out loud as the ""10th of September,"" even as it's correctly marked tomorrow. https://t.co/tUW58sSrLI",@205064 We're here to help. Which iPhone and version of iOS are you using? Can you please message us in DM? https://t.co/GDrqU22YpT
238480,@115858 upgraded to latest update last night. Battery drained 15% within 5 mins of looking at news! #batterydrain #applepleasefix #help,"@172740 We'd like to help. So we are on the same page, which version of iOS do you have installed?"
2045067,"@AppleSupport thanks for the update, now I can’t FaceTime","@604777 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT"
1154831,"@12195 @16201 @115858 Interesting conundrum. How do you get a refund @AppleSupport for a film that doesn't load, despite other streaming services working?",@391676 We're happy to help. For assistance with a refund visit our iTunes Team here: https://t.co/SDIe7UiyJN
2944538,@115858 I reluctantly updated the new OS and all my files from the past 5 years are gone now. How am I supposed to go on?,@813412 We are here for you. Which device did you update? Where were the missing files stored? Do you have a backup of your device?
52309,@AppleSupport 11.1,"@127766 Go ahead and DM us your country, and we'll continue working there. https://t.co/GDrqU22YpT"
1813700,"@AppleSupport 
But i didnt request anything more. I press the link in the e.mail and it want the credit card informaion! Can u help me plz",@544870 Great catch! Did you provide any other personal details when you went to this page? Please tell us more in Direct Message: https://t.co/GDrqU22YpT
37649,@124173 @115858 Can I update my iPad or wait till next update? Update size also above 1GB..,@124172 It's always good to install current updates. Check out this article for ways to make more space for it: https://t.co/GfczciMZXW
262591,"@AppleSupport Again, all of the support people are extremely helpful, but it's just not going anywhere.",@169838 We'd like to look into our options. DM us and we'll continue there. https://t.co/GDrqU22YpT
1033021,.@AppleSupport Can I still make calls on the Apple Watch 3 when I am in WIFI without the LTE Version? #AskingForaFriend,@364413 We're happy to get you pointed in the right direction. Contact us here: https://t.co/8yjRd1Xo0i
1905951,The battery drain of my #IPhone7 since the #iOS11 update is scandalous. It’s less than 50% its duration two months ago @115858 @AppleSupport,@567933 Please DM and tell us what version of iOS 11 you see under Settings &gt; General &gt; About &gt; Version. We'll meet you there to help out. https://t.co/GDrqU22YpT
2113838,@AppleSupport My old messages do.,@623246 We would like to take a look at your voicemail issue more. Let's continue the conversation in DM. https://t.co/GDrqU22YpT
491508,"Why is it that iPhones last for years, but the damn chargers break in a month? @115858 #iphonechargerssuck","@232110 If you're having issues with your charging cable, we'd like to help. Please DM us which device you have and we'll go from there. https://t.co/GDrqU22YpT"
118111,@AppleSupport Well my battery doesn’t last. I have a permanent mophie attached. All my apps crash and take over 30seconds to load consistently,@142194 So we can better assist we'd like to ask a few questions. Do all your apps have this issue or are some more affected than others? Which iOS version are you currently running? DM us and we'll go from there. https://t.co/GDrqU22YpT
2076419,"@614107 @115858 Literally! My phone keeps freezing and I have to keep hard resetting it, proper annoying","@614106  If you are having issues with your iPhone, we'd love to help. Please let us know in DM which iOS version you have installed. https://t.co/GDrqU22YpT"
333216,@AppleSupport Sometimes it’s recording fine. And sometimes it records screen but not audio. And I experienced a couple of times it wasn’t saved in gallery,@195366 Thank you for keeping us updated. Check out this great article: https://t.co/3AvFrytbBb  Let us know if this helps!
2710491,What are the @115858 shops like for returning other brands’ accessories? Bought a @181575 iPhone X case that blocks the microphone and everyone complains that they struggle to hear me. 🙄 #blogger #retweet #tech,@761071 We may be able to offer some guidance here. Products made by a 3rd party but purchased at an Apple Store can be returned there subject to the standard 14-day time limit.
674663,"I hate this new update my phone doesn’t even last half a day fully charged !! 😡😡😡 , mmg @115858",@123589 Battery life is essential; we'll do all we can to help. Let's connect in DM to get started: https://t.co/GDrqU22YpT
1291182,@AppleSupport Tried it numerous times &amp; the backlight comes on nothing else! Only had the phone a few month &amp; no I have not done a recent back up which makes the matter worse.,"@421947 Thank you for letting us know. We'll do all we can to help. Please send us a DM, so we can take a closer look. https://t.co/GDrqU22YpT"
181431,I want to break my phone because of the new IOS 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ everything is so slow and my battery life sucks @115858 what’re u doing. 😭,@158622 Let's look into this performance issue for you. Send us a DM with your exact iOS version and when you first started noticing these issues. https://t.co/GDrqU22YpT
1220453,"@AppleSupport yes. That’s where I reinstalled the os from. It won’t let me load a recovery from time machine though. It’s on a network hd, but it just errors out.",@406343 Can you let us know the error you're getting?
897670,"It’s not even 12 and my iPhone died twice today once it said 60% and the other at a whopping 91, what’s going on bruh @AppleSupport",@333180 Thanks for reaching out. We would love to help you. Can you please tell us which version of iOS you are currently running?
1772149,@AppleSupport this is me waiting on ya to fix the bug with the I️ until then its text replacement i suppose!!! https://t.co/blijRifUUM,@532641 Let's look at this together. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1364807,@AppleSupport my iPhone 8plus keeps disconnecting from my Bluetooth speaker,"@437766 We'd like to help with this Bluetooth issue. Are there any other Bluetooth devices you use? If so, does the same happen?"
2520730,@AppleSupport why will my iphone 7 not connect to wifi anymore since ios11??,"@717981 Thanks for reaching out. We know how important it is to be able to connect to Wi-Fi, so we'd be happy to look into what's going on. To start, can you let us know which version of iOS 11 you're using, as well as what happens when you try to connect to a Wi-Fi network?"
2628954,How come my debit card was added smoothly to Apple Pay on my watch but not my phone @AppleSupport it keeps saying invalid card but all the information is correct,"@742480 Hey, there. If you're experiencing difficulties adding a card to Apple Pay, let's first check out this article: https://t.co/Saz92f9xOE Let us know if that helps."
2525542,"@AppleSupport Hello. I'm on iOS 11.1.1. This happens with all audio (Music app, Podcasts, Safari audio. Dropbox audio etc). Only on the lock screen though. The scrubber is frozen and so is the time duration and time remaining. But I can play, pause and skip as usual.",@324976 Let's take a closer look together. Please DM us when you first experienced this behavior and we can go from there. https://t.co/GDrqU22YpT
480569,What is the problem with @115858 why do my texts always seem to read that “ I️ love I.T”,@229208 It's important that all features of your iPhone work great and we're happy to help. Would you please let us know which version of iOS version you currently have installed? This is located in Settings &gt; General &gt; About.
1548842,@287836 Same problem! That question mark for “I️”. @AppleSupport what is happening?,@479457 Things like this are never convenient. Take a look at our article here: https://t.co/xU1AGHStV6
543643,@AppleSupport https://t.co/8nlHMnzgx0,@246272 Hi. we'd love to help you get this resolved. Please follow the steps listed in this article: https://t.co/osZOKKTalm
820693,@AppleSupport Updated the morning it was released.  No specific app. Lockup today was leaving Messages.,@315483 Are you having to fully restart the iPhone when this happens or does it free up eventually? DM us and we'll continue from there. https://t.co/GDrqU22YpT
764866,"@AppleSupport I have the 6S, if I 📱 a 7 and can’t hear them but I can hear my keynotes when pressing the #’s, is that the 7 flaw B4 1103 UD",@302808 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
2440851,@115858 if y’all don’t fix this fucking I️ problem I’m switching to Samsung,@700025 We've recently released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: https://t.co/xU1AGHStV6 Let us know if this helps. https://t.co/GDrqU22YpT
1717607,@AppleSupport Yes because I have tried changing it with an adapter and the battery depleted,@520092 Do you have another charger you could try with? DM us and let us know. https://t.co/GDrqU22YpT
1680727,@AppleSupport I need some help with setting up family sharing and changing from a USA to Uk account please,"@511046 We can help out! First, you'll need to update your store. Check out https://t.co/R7Ig2tFP0R for details on that process."
152801,@115858 fix this now! https://t.co/8Yf4gqL1Tm,"@150947 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6"
1509405,@AppleSupport Only chrome. Since latest ios update.,@470356 No worries. Let's work on this together in DM. https://t.co/GDrqU22YpT
52302,"@AppleSupport the new IOS software has completely screwed my phone up - slow, crashes, calls don't get recognised...","@127764 We'd like to look into this with you. Did you already complete the update that was just released, iOS 11.1?"
1219239,@115858 switching to @125607 becoz ur new update keeps on turning my wifi on even when i dont want it. Its very irritating.,@406062 We'd like to help. Are you disconnecting Wi-Fi through the Control Center or disabling it through Settings?
2787865,uh hey @AppleSupport  my gifs aren’t working they just show as grey squares and I’m trying to send my girlfriend funny gifs so please help 👍🏻,"@778267 Thanks for reaching out about this behavior. Are you using Messages to send those gifs, or are you using a different app? How long have you been experiencing this behavior? Also, which device are you using?"
595790,I legitimately bought my new iPhone X 24 hours ago and now the display is showing this bright light purple line and the colours are glitching! I haven’t dropped it damaged it or anything! @AppleSupport https://t.co/i6su9sduJr,"@261180 Thanks for reaching out to us today. We understand your concern with this issue, and would be happy to look into the best options with you. To start, can you DM us where you're currently located, and where you purchased your iPhone from? https://t.co/GDrqU22YpT"
1019336,"@AppleSupport is there a problem with accepting/making phone calls after the latest software update, my phones having issues with this",@361194 We'd like to work with you. What happens when you try to make a call?
2595537,@AppleSupport itunes on windows or MacOS. The Save to Playlist option is gone from the sharing widget. It's still there in iOS.,@289166 We'd like to work on this with you further in DM. You can use the following link to meet us there. https://t.co/GDrqU22YpT
1933835,@115858 ...unless I turn off the phone and turn it back on. Which that has become hard to do as well now! Very disappointed at this update.,@575443 This is certainly not an experience we want you to have. We'd like to gather some info. Please meet us in DM. https://t.co/GDrqU22YpT
2690865,"Hey , why am I getting prompts to install macOS High Sierra, onto a late-2015 i7 3TB Fusion iMac—which isn’t yet compatible? @AppleSupport https://t.co/DK8PkwjFZC",@756470 Let’s take a closer look into this. Send us a DM to continue. https://t.co/GDrqU22YpT
564045,"Yo @AppleSupport it would be nice if you'd send out an alert about this problem, which has been driving me crazy all day and last night. https://t.co/BvX4Rp2E3U","@252092 If you're experiencing this issue, you can refer to this article for support: https://t.co/osZOKKTalm"
1648447,@AppleSupport why does this keep happening? I️,@503597 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
256737,@115858 why the fuck my phone start freezing every time the new one come out,@177052 We’d be glad to look into this further with you. Can you start by confirming more about the issue via DM? https://t.co/GDrqU22YpT
1956089,Swear Apple fucks up these phones on purpose when a new phone comes out to make me buy it. Why my home button and Touch ID not work @115858,@580527 We want to look into this with you. DM us using the link below and let us know details of what's happening with your iPhone. https://t.co/GDrqU22YpT
1745972,Dear @115858 why can’t i type the letter I without it changing .. it is now also doing it when i write I’m !! Fix it!!,@526411 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1626178,@AppleSupport Upgraded to 11.0.3 and old notifications still appear. This is such a silly issue created by iOS 11. Fix this issue https://t.co/kC1hZifzcL,"@289239 We want to help! If you use 3D Touch on the (X) button, does it give you the option to ""Clear All Notifications""? https://t.co/GDrqU22YpT"
2353638,@115858 fix this https://t.co/gaqCsHGHrj,@680092 We want to help. Have you updated to the latest version of iOS? You can check in Settings &gt; General &gt; Software Update.
1795703,@AppleSupport I was on face time my battery at the start was 42% I was on the call 9 minutes and my battery dropped to 14%! Outrageous!,@399151 Happy to help. Is this the first time you have seen this issue with your device?  We'll get information here to figure this out.
2130334,Anyone else having issues with the messages app crashing when opening it? @115858 #apple #iphone #helpmeLord,@627034 Let's help with your Messages. Which iOS version are you running? Any other apps crashing upon launch? Does restarting help?
1850847,"@AppleSupport Also, when I use certain charger cables, my screen goes utterly bats***, typing and tapping by itself. Not cool, guys. Knock it off.",@554044 Thanks for keeping us updated. Which device are we working with today? Let us know in DM and we'll continue there. https://t.co/GDrqU22YpT
2690867,"Hey @115858, why won't my iPad stay alive for 30 seconds even when plugged in??","@756471 We're happy to help. Are you charging using a computer, or a wall outlet? Let's try following this article and see if it helps: https://t.co/uqxquyfdn0"
374198,The iOS 11 point whatever does nothing but suck the life out of my battery. Way to go @115858. #fb,@204718 Thanks for reaching out to us. Please let us know which device you are using and when you updated your device. Thanks.
503657,"No matter how many country songs I dislike in my @115948 New Music Mix, it keeps including them. I’ve disliked the genre and even reset my profile. What gives @AppleSupport?",@235370 We definitely want you to enjoy your Apple Music as expected. May sure you are following the steps here to manage your Apple Music suggestions: https://t.co/zrXCbURjiu  DM us if you run into any trouble: https://t.co/GDrqU22YpT
627888,Updated my 6s to IOS 11.1.2 during the night. This morning my phone died with 64% battery. No @115858 I'm not paying 1000$ for your new iPhone X.,@268708 We want to help with your battery life. Have you checked our steps here? https://t.co/bivpdfBNJ6
1674761,"@AppleSupport I’ve already done this. However, this still poses an issue on certain platforms.",@509565 We're glad you had the chance to review that article. Select the following link to join us in a DM and we'll continue there. https://t.co/GDrqU22YpT
2723082,@AppleSupport i am having some issues on my iphoneX while using keyboard!,@763896 We're here to help you get back to enjoying your new iPhone X. What issues are you having?
689370,Is anyone else’s Touch ID not working after iOS 11.1.2 update? #apple #iphone #update @AppleSupport,@284730 Let's look into this Touch ID issue for you. This page can provide some guidance: https://t.co/xqiXha6yeB DM us if you are still experiencing issues. https://t.co/GDrqU22YpT
2005435,@AppleSupport can you please help me with my autocorrect issue like you helped @592259 I’m out here strugglinggg,@593043 We can help you out. Take a gander at the following article and DM us with any questions. Thanks. https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT
748819,@AppleSupport Voicemail transcripts don’t seem to be working after upgrading to iOS 11... is this a known issue? Is there a manual fix?,@299005 Let's look into this together. What happens when you try to us Voicemail transcription? Is there an error message?
1950733,@115858 Was trying to teeet but my phone shut down on its own for no reason. Any thoughts? 🙋🏻I have one! Fix the update!,@579377 We'd love to help! Certainly not what we want you to experience. Please DM us about the issues you're seeing. https://t.co/GDrqU22YpT
1787359,"@AppleSupport so no, no help with this one?","@536967 We'd be happy to look this Apple Music issue over with you. Please meet us in DM so we may gather info, and better assist. https://t.co/GDrqU22YpT"
519199,"@AppleSupport My phone freezes, I can tap on the screen and nothing will happen. Sometimes I have to wait it out or click the home button repeatedly. If I swipe up my phone swipes right on occasion. Sometimes it goes completely dark.","@239807 When you see the phone go completely dark, how long does that last? What do you see when that ends? Does that show a spinning gear, or go back to the home screen? Let us know in DM to continue. https://t.co/GDrqU2kzhr"
