thread_id,customer_text,agent_text,true_intent,should_escalate,escalation_reason
1646147,@502830 @115858 Fun fact: The notification ribbon from Twitter doesn’t show the symbols. I️ also don’t have this issue when texting,@502985 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,0,Safe for auto-reply
1526944,@AppleSupport has apple considered or have available a way to send delayed text messages?,@290290 We love to hear feedback/suggestions from our customers. You can submit yours here: https://t.co/eTPVYVFyd8,general_inquiry,0,Safe for auto-reply
2039358,@AppleSupport for the new updates can u guys put in the description “will crash multiple times” so I️ can at least be prepared for it🤦🏽‍♂️,@602996 We want to help. What kind of device do you have? Does this happen when you're using a specific app?  Let's meet in DM here: https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
765480,@AppleSupport So so slow,@302957 Let's see how things run in safe mode: https://t.co/PQ4LSYhUTY DM us the results and we'll be happy to dig deeper with you: https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2369478,This stupid ass iPhone and this stupid ass A box shit is about to make me THROW THIS WHOLE PHONE AWAY . FUCK YALL @115858 !,"@683814 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",other,1,"toxic language used, frustated user"
2429192,None of my photos will load so I can see them and I also cannot send them. I don’t expect to pay £500+ for a iPhone for my photos not to load! I have done all updates that Apple have released and I also have plenty of storage on my phone. What’s going on @115858 @AppleSupport,"@697411 We'll get you pointed in the right direction. For help with Photos on your iPhone, connect with an Advisor who specializes in Photos here: https://t.co/IBIY3vMgPj You can connect with them by selecting Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS.",software_troubleshooting,1,has general fix doesn't worked
2789237,"whats going on @115858 my phone stuck again with apple logo do we need to think seriously about switching form IOS
@AppleSupport @118721",@602217 Let's look into that. Let's continue in DM. https://t.co/GDrqU22YpT,software_troubleshooting,1,as general fix didn't work actual support needed
2398012,@AppleSupport fix this glitch i’m tired of this “ i️ “ shit,"@690132  We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",other,0,Safe for auto-reply
2146506,Issues having Text Replacement move over to iPhoneX? I am! Any help? @AppleSupport @630992 @240840,"@630991 Let us know via DM what is occurring with text replacement for you, then we can help out from there. https://t.co/GDrqU22YpT",general_inquiry,0,Safe for auto-reply
1277198,"@418918 @AppleSupport I updated, left with a frozen iPhone 7 too. Battery life is not existent",@569869 We'd like to check into what you are seeing on your iPhone. Could you join us in DM with more details to get started? https://t.co/GDrqU22YpT,hardware_repair,1,hardware issue
619386,@AppleSupport 11.1.2 killed the great sound &amp; battery 8 plus had just 4 weeks ago,@266978 Thank you for that info. We'd like to look into this further with you. DM us and we'll continue there. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
762535,@AppleSupport 11.03 and still my own ringtones will not work 😱😭,@302191 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1930526,"@115858 could you like, fix the fact that everybody's phones are randomly restarting? It's seriously annoying and inconvenient.",@574469 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,hardware_repair,1,hardware issue
2729099,@AppleSupport Email attachments,@164051 Thanks for clarifying this for us. Are you using the Mail app or do you access your mail from Safari? Send us a DM and let us know. https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
2003294,"Hey, @AppleSupport when will I️ be able to text and see the letter “I️” normally again?",@301556 Thanks for reaching out to us about this. Which device and OS version is this occurring on? DM us here please: https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1858187,"What’s wrong with #ios11 on #iphone6. The battery life is awful! Also quite a few bugs I encountered. 

@115858 Help!",@207484 We want to help with your battery. Look here for a few tips: https://t.co/bivpdfBNJ6  DM us if you're still having trouble. https://t.co/GDrqU22YpT,hardware_repair,0,Safe for auto-reply
1483606,@115858 This is really annoying me. The letter that sounds like “eye” is what I️ can’t type ....,@464518 Let's review this concern together. DM us your iPhone model and iOS version to get started. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1636564,"@AppleSupport No, airplay is always buffering a lot",@500567 Make sure your devices are compatible: https://t.co/jQN1wtIGI3 and then check your Wi-Fi: https://t.co/zlgjExQD2d,software_troubleshooting,0,Safe for auto-reply
2133589,@AppleSupport can you get your best nerds and fix this letter glitch? It’s really ruining my week,@627767 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,0,Safe for auto-reply
1627167,Dear @115858 are you guys going to fix the “I️ “ problem ????? https://t.co/Tyi340h5ma,@498192 We'd love to help. What device are you using and can you provide us with more details on the issue?,general_inquiry,0,Safe for auto-reply
164203,@AppleSupport I’m assuming it’s fake?,@154031 You are correct.,other,0,Safe for auto-reply
361737,@AppleSupport sois vosotros o es falso este correo? https://t.co/otYaaFATsX,@201673 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,other,0,Safe for auto-reply
1182514,@AppleSupport Maybe the problem is iOS11,@398085 This is unexpected behavior. Let's see what we can do to get you a resolution. What happens when you try to update?,general_inquiry,0,Safe for auto-reply
1544939,@AppleSupport my iphone se has a serious keyboard glitch when i️ type in i️ 🤷🏾‍♀️ i️ updated my phone to ios 11.0.3,@265687 Let's look into this keyboard issue for you. Send us a DM and we can look over some options for you. https://t.co/GDrqU22YpT,software_troubleshooting,1,general fix didn't work
2185371,"@AppleSupport It’s not about accuracy.  I used the activity app in the watch.  That’s what said I burned 245 calories.  So, the same watch should show 245 calories in the move ring.",@640021 We understand. Please reach out to us via DM and we can pick up from there. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2918917,Any #appleproduct users want to tell me why I can’t play music on my USB port in my car to my iPhone 6 Plus or print on my mac with the newest updates?? @AppleSupport,@807891 We want to help out. DM us and we'll go from there. https://t.co/GDrqU22YpT,device_connectivity,1,specific solution needed!
708010,@318 @2202 @115858 @AppleSupport @1542 worst thing is the removal of podcasts continuously playing. Bring it back,@289252 Thanks for reaching out! Feel free to share your feedback with us about this feature here: https://t.co/eTPVYVFyd8,general_inquiry,0,Safe for auto-reply
563976,@AppleSupport Where’s my option to use #ApplePayCash ? https://t.co/PXQpaaoRqq,"@252075 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",billing_purchases,1,billing
2048947,Apple trying to fry my phone so I have to buy a 8 @AppleSupport @115858 stop this foolishness,@605954 Are you experiencing issues with your iPhone? We'd love to help you get them fixed. DM us more info and we'll get started. https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
38855,@AppleSupport It’s 11.1,@124479 Is it still doing the same thing currently? Tell us more via DM: https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
2117310,So @115858 when are you gonna fix this issue... I️,@624059 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,0,Safe for auto-reply
145256,@AppleSupport Apple Watch 3 battery has been draining so quickly the past week - not used overnight but 40% battery drain,@148923 We're glad you've reached out to us on this and are eager to look into what's going on. Let's begin by restarting your Watch. How to restart your Apple Watch: https://t.co/gZrStAoDfj,hardware_repair,1,hardware
1674783,Hey @AppleSupport can you please explain why the hecking heck all my “I’s” are autocorrecting to this nonsense https://t.co/LF2WKumAT1,@509573 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/tqme2m68En,software_troubleshooting,0,Safe for auto-reply
823989,"@AppleSupport I updated to 11.0.1 then 11.0.2 and experience extreme lagging on the iPhone 6, Battery draining even quicker, can’t connect to most WiFi",@316272 We'd like to help with these issues. Tell us a bit more about the Wi-Fi issue via DM to get started. We'll go from there. https://t.co/GDrqU22YpT,software_troubleshooting,0,Safe for auto-reply
2860008,@AppleSupport If someone could just tell me why I still haven't received my laptop back when all I need was a battery change that'd be great please.,@794745 We'd be happy to look into this with you. We've received your DM and we'll get started there.,billing_purchases,1,billing and support related
1981362,@AppleSupport I️ am starting to feel like an Android user with my l’s showing up like question marks.,@586494 Let's check it out. Which iPhone are you using? Which iOS shows in Settings &gt; General &gt; About? Let us know in DM. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2730349,@AppleSupport iPhone 6,@765474 Thanks. Which version of iOS 11 is your device currently running?,other,0,Safe for auto-reply
2924643,@AppleSupport hi I send iMessages but they're not being said as 'delivered' even though the recipient got them,@809262 We can work together on this. Can you tell us what device is affected and the software version that is running? https://t.co/GDrqU22YpT,software_troubleshooting,0,Safe for auto-reply
1347717,@AppleSupport since updating my iPhone to IOS11.03 it keeps timing out when mirroring to Apple TV???,"@405236 We want to see that resolved. For additional assistance, please contact our Apple TV team here: https://t.co/IBIY3vMgPj",device_connectivity,1,connectivity issue
762240,@115858 imma need another update real quick. Phone battery is shit now pls help,@302124 We want to get to the bottom of this just as much as you do. Let's work together on this in DM. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2220392,"@AppleSupport I just tried it on YouTube and it worked and then stopped working, I can try other apps too if you need it?",@648533 Let's try one or two other apps and see if you see the same result. Just so we can isolate the issue if possible.,device_connectivity,0,Safe for auto-reply
1655044,@AppleSupport is there any way to undo an update? This last one has frozen my phone &amp; randomly restarted it at least 8 times this weekend.,@505107 Let's see what we can do to help. Send us a DM with your device type and we can go over some options. https://t.co/GDrqU22YpT,software_troubleshooting,1,the issue got serious
1932761,@AppleSupport I have the iPhone 7 Plus and I’m using 11.0.3,@575140 Thanks. Tell us more about the issues you're encountering post update via DM. We'll go from there. https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
2000990,"@116333 supper disappointed not to see a headphone included with such an expensive iPhone X, are we not eligible for an headphone also...",@474860 Each package should include EarPods with Lightning Connector. Let us know in a DM if you're missing accessories. https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
2977506,"@AppleSupport my husbands i pad stopped charging;  we have to turn it off overtime we want to charge it, and then its slow","@821174 As we're working on two different issues here, let's continue our conversation in DM please. https://t.co/GDrqU22YpT",general_inquiry,0,Safe for auto-reply
2652666,@AppleSupport Apple music keeps crashing after I updated.,"@301936 Thanks for reaching out to us. When you say it's crashing, do you mean the app just closes anytime you try to open it, or something else?",software_troubleshooting,0,Safe for auto-reply
2852349,"Could a iPhone works worst? I cannot even call!!! With a 7!

@AppleSupport https://t.co/u7X2gRuBJU",@793032 We'd like to help. Let us know which version of iOS you're running via DM to get started. https://t.co/GDrqU22YpT,software_troubleshooting,1,basic functionality not working properly
1159189,"@AppleSupport your heart rate tracking during workouts has some issues. I pushed and this was my results, at one point, 48bpm. 👎🏽 https://t.co/APLB3rjqyu","@392689 We can help you. Please check out the ""For best results"" of this support article: https://t.co/DDoyTd3OQv",hardware_repair,1,physical accruacy is low
1671204,@115858 I️WANT YOU TO FIX THIS SHIT I️ HATE I️T I️ I️ I️ I️. I️ II I️. WHY,@508696 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,1,toxic frustrated user
2246986,@AppleSupport  Chyeah mayn.. Why does my iPhone 7plus and 8 plus keep restarting like the old MacBook mid 2010’s?! This iPhone 8 Plus done restarted three times in the past hour!!,@654834 We'd love to work with to find out why your phones are exhibiting this behavior. Please tell us which version of iOS you have installed on the iPhones. You'll find this in Settings &gt; General &gt; About.,hardware_repair,1,keep restarting needed support
1007100,Hey @AppleSupport - why is this appearing on my lock screen? 🤔🤷🏼‍♂️ https://t.co/LH3KcOnKZy,@192480 When was the last time you listened to music on your iPhone? Is there a paused track in the last app you used?,general_inquiry,1,not much information given so agent can't handle it
612888,"@AppleSupport Hello , I Updated It And It Still Show The Box🙄 Please Help.",@646720 We appreciate you coming back with some feedback. Confirm for us in DM whether you're referring to iOS 11.1.1 See you there! https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
31435,"@AppleSupport Just used your ""chat"" portion on help, it won't let me chat with anyone. My apple ID has been very buggy","@122933 You can follow the steps listed in ""Cancel Order"" section to have this canceled: https://t.co/jr7MZtpSNY",general_inquiry,0,Safe for auto-reply
910437,"@AppleSupport I just closed down iTunes, restarted and tried downloading through 'Purchased' - seems to have worked. Thanks very much for your help anyway",@336250 You're welcome. We hope you enjoy the rest of your day and weekend!,general_inquiry,0,Safe for auto-reply
545216,@AppleSupport my 6s with iOS 11 keeps getting a black loading screen. Help!,@246731 Thanks for reaching out about this behavior. Let’s work together to get this addressed. Does that still continue after taking the steps in this article? https://t.co/osZOKKTalm Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT,general_inquiry,1,hardware issue maybe..
248728,"@AppleSupport Every app tried it with updating -Asphalt 8 , google maps, And downloading-Xe currency,bad piggies and YouTube","@175087 Have you tried restarting your device and trying again? Also, what's the exact iOS version installed?",general_inquiry,0,Safe for auto-reply
2445199,@AppleSupport stop autocorrecting my i’s into i️,"@701055 That's an experience you should have and we're going to do all we can to work towards a resolution. To help get us started through troubleshooting, may we have the iOS version shown in Settings &gt; General &gt; About?",general_inquiry,0,Safe for auto-reply
1674064,@AppleSupport can u please fix the keyboard thing so eye can type the letter eye?!,@509372 We’re here for you. Here’s a work around for the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_inquiry,0,Safe for auto-reply
874811,"@AppleSupport I’ve completed all those steps, my carrier doesn’t see anything wrong, and my sim works in another iPhone",@327693 Let's take a closer look. Reach out via DM using the link below. https://t.co/GDrqU22YpT,hardware_repair,1,general fix didn't work
460844,@AppleSupport I’m on the Public beta of 11.2 but this has literally been happening on and off since the first beta.,"@224482 Okay, DM us your country so we can continue. https://t.co/GDrqU22YpT",general_inquiry,0,Safe for auto-reply
2036894,Face ID failed on me 4 times today just now. #FaceID #iPhoneX @AppleSupport just got the phone today.,@329366 We want to look into this with you. DM us what iOS version you're on and any other details. We'll continue with you there. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2060858,@115858 #itsucks battery mostly #ios11,@609513 We're here for you. DM us a few more details about what is going on and we can go from there together. https://t.co/GDrqU22YpT,general_inquiry,1,toxicity
38873,@AppleSupport Can we speak via email? __email__,"@124482 We offer support here, through phone support, or chat. DM us if you would like to continue here. https://t.co/GDrqU22YpT",account_security,1,through email
2404903,"#iOS111 is dreadful. Phone randomly hanging for 1-2mins each time, apps crash constantly. Completely unusable. SORT IT OUT! @AppleSupport","@691735 Hey, we know how important it is for your iPhone to run smoothly. DM us the exact iOS version currently installed and we'll work together towards a solution. https://t.co/GDrqU22YpT",hardware_repair,1,general fix didn't work so needed interfer
299071,@AppleSupport Ios11 &amp; I have both,@187286 Is the case or screen protector by any chance covering the home button or surrounding ring?,other,0,Safe for auto-reply
594669,@AppleSupport I logged into my iCloud account from Safari on my MacBook Air. I went into settings to manage my account and change my password. it won’t let me. Login window keeps appearing. Please help.,@260892 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there. https://t.co/GDrqU22YpT,account_security,1,security features is not working
1476501,"@AppleSupport with this new update, typing “ I️ “ shows a question mark in a box instead of the letter my guy",@462801 Thanks for reaching out. Please DM us about the issue you're experiencing and we'll continue there. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2444190,so like when is the I thing getting fixed @115858,"@700833 This issue was addressed with a recent software update. If you're experiencing this issue when typing on your keyboard, be sure to update to the latest version. If you're seeing other user's post/messages experiencing the issue, they would need to update as well.",general_inquiry,0,Safe for auto-reply
288354,@AppleSupport 11.0.2 (the very last one),@184686 Thanks for confirming that for us. Let's go ahead and meet up within DM so we can further isolate this issue: https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
2890779,"@AppleSupport what happened to my music app? why do black screen appears instead of white screen when i open my music app? i can’t get used to it, please fix! https://t.co/EUJ7BK7F3E",@776002 Thanks for the live video example. Let's see how we can assist. When did this first begin? Which iOS version are you using under Settings &gt; General &gt; About?,software_troubleshooting,1,black screen problem
302949,@188302 @AppleSupport mine does that too sometimes,@188301 Hi there. Let's meet in DM and discuss it. We're here to help. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2360296,"@AppleSupport  I have been getting strange emails about ""unauthorized sign-in"", etc.  Do you have a email address I can forward these to?",@681627 We'd love to help with this! We do have an email address to which you can send fraudulent emails. This link has more information about that: https://t.co/LNMCdqt6fD,account_security,1,account security has been compramized
2691786,I’M SICK AND TIRED OF THIS I️ GLITCH @115858 fix this,@756676 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,general_inquiry,1,toxicity
2279819,@AppleSupport iOS 11.1.1 broke the notification text #iOS #iOS11.1.1 https://t.co/GHOlyi93gg,@258620 We'd like to see what we can do to help. Are you seeing this with all apps and what device are you seeing this on?,general_inquiry,0,Safe for auto-reply
1203487,"@115858 Whenever I select a sound from the main list then move to the “classics” list or whatever, that first sound will glitch and repeat",@402724 Let's restart your iPhone and meet in DM. We' glad to work with you in this unique issue. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
243100,@AppleSupport yes. all the apps have been updated accordingly.,@173729 Thanks for doing that. Let's continue our conversation in DM. https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
648517,"@115858; I know it's only an #iPhone6, but surely something that costs £500 should last longer than 18 months without having issues. Iv no prob with #capitalism, but ur type is starting to #takethepiss. #Noneedforgreed. Bolox, my phones just br",@274111 This is certainly not the experience we want you to have. You're in great hands for support. Let us know which iOS version you're using. Use this link to check for the iOS version: https://t.co/ZTw54HL4Rm DM us your response. https://t.co/GDrqU22YpT,software_troubleshooting,1,billing problem
42613,"@AppleSupport Yes, still the same result. It just won't go to sleep. Closing the lid doesn't do anything.",@125417 DM your location and we'll take it from there. https://t.co/GDrqU22YpT,general_inquiry,1,general fix did't work
1627601,Wtf @115858 why am I️ seeing boxes??,"@498306 Thanks for reaching out to us. Try the steps in this article : https://t.co/xU1AGHStV6
Meet us in DM if you need more help. https://t.co/GDrqU22YpT",general_inquiry,1,not much information provided for agent 
716608,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,@291515 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,other,0,Safe for auto-reply
2756810,@AppleSupport No 😢,@771545 Thank you. Do you share your Apple ID with anyone? Have you recently removed any email accounts? Please feel free to DM us. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
2974485,my phone is fucking up @115858 get your shit together,@820338 We'd like to see if we can do anything to assist. What exactly are you experiencing? DM us and we'll continue there. https://t.co/GDrqU22YpT,general_inquiry,1,toxicity
283214,Really?.?? @AppleSupport https://t.co/4V2gFlqOO2,@183471  Let’s get you pointed in the right direction. Our @159983 team will take it from here.,general_inquiry,1,t.co is inculded
431295,@AppleSupport Did you not read the Tweet? Even using Bluetooth is an issue. Things don’t stay connected and when they do it’s intermittent.,"@217543 Let's take a closer look, could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT",general_inquiry,1,toxicity
775437,@115858 if I don’t have my Apple TV remote how am I suppose to put the access code from my phone onto the Apple TV 🤦🏼‍♀️,"@305277 We can help. For assistance with your Apple TV, reach out to our support team here: https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT",device_connectivity,1,general fix didn't fix
2013612,Yo what's going on with the letter I on the new update?? Plz explain @115858,@595406 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1821898,"@546929 @AppleSupport Yep, happening to me too. So annoying.",@567284 We've got your back! We've also received your DM. We'll respond from there to help get to the bottom of this.,general_inquiry,0,Safe for auto-reply
2925655,@115858 um ok well u need to get ur shit together bc my phone keeps logging me out of my iTunes/icould &amp;randomly turning off my iMessage,"@809496 We'd like some details to assist. Which iPhone model and iOS is this occurring on? Also, have you made any recent changes to your Apple ID or iCloud account? Let us know and we'll continue.",general_inquiry,1,toxicity
2590417,"@AppleSupport My settings seem to be optimized, as always.",@733722 Let's take a look into this further for you. Which iOS version are you using in Settings &gt; General &gt; About?  Let us know in DM. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
585923,Hi @AppleSupport my old iPhone 6s is shutting down and bugging me out every 20 seconds 😞 please help https://t.co/Fxaxn1qwSU,@258337 We're sorry to hear this. Let's see what we can do to get it resolved. When did you start seeing these unexpected shutdowns?,general_inquiry,1,general fix didn't work for old iphone
1163459,G une question alede @AppleSupport @115858,@393685 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_inquiry,0,Safe for auto-reply
691200,"Dear @AppleSupport: this is a current map of Cupertino, San Jose, Sunnyvale. Why is Maps so useless so often? https://t.co/bDqgzBuNX6","@285166 Definitely not the expected display for that, but we can help out! Which device is this occurring on?",general_inquiry,0,Safe for auto-reply
268723,@AppleSupport all 3 updates of IOS 11,@180069 What issues are you experiencing? Let us know in DM. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1083977,@AppleSupport My music won’t show up on my lock screen and that is probably the most annoying issue tbh,@375690 Which model do you have and is iOS 11.0.3 the version installed? Any steps tried so far?,software_troubleshooting,1,general fix didn't work
587079,@258659 @115858 for real my phone is so slow now and i haven't even updated 😭,@258657 That shouldn't be happening. We'd be happy to help. Send us a DM letting us know which version of iOS you have so we may continue troubleshooting. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1872168,@AppleSupport I have to restart my phone in order for the speaker to work.,@559057 We're glad you came to us with this. Let's meet up in DM to discuss the issue you're experiencing further. Here's a link: https://t.co/GDrqU22YpT,hardware_repair,1,hardware damage
1099674,@AppleSupport I accidentally erased my phone HELP,@379504 We want to do all we can to help you out. Do you currently have a backup of your iPhone in iCloud or iTunes?,general_inquiry,1,accidentely deleted everything so needed help
956390,@AppleSupport Hello. I restarted my Watch and it toons about 15 minutes for weather to come back. Series 0 Watch. Opened weather app on iPhone 6s Plus.,@290190 Understood. Which software version are you running on your Apple Watch and iPhone?,general_inquiry,0,Safe for auto-reply
1999726,"Hey @AppleSupport, I can't get my email to reconfigure to my MacBook. Is this something you can help me with? 😢","@591283 Thanks for reaching out, we're happy to help. Which macOS are you running? DM us with the details, we'll take it from there. https://t.co/GDrqU22YpT",general_inquiry,1,email needed
2427297,"@AppleSupport It got sluggish after the 11.0.3 update. 
I'm using an iPhone 6 so I assumed the hardware was just running behind.",@696960 Thanks.  Which exact iOS version are you running?  You can check under Settings &gt; General &gt; About.,hardware_repair,1,hardware problem
2729090,I woke up.... my phone was charging..... and it was on 1%. @115858 explain,@765173 We're here to help. Try these steps and let us know if the issue continues: https://t.co/uqxquyfdn0,general_inquiry,0,Safe for auto-reply
